timestamp,hashtag,content,likes,comments,shares,user_handle
2026-03-08 09:00:00,#TechTrends,AI is the next big thing!,500,50,100,Shruti
2026-03-08 14:00:00,#AI,Deep learning explained.,400,30,80,Hemant
2026-03-09 10:00:00,#TechTrends,Quantum computing is here.,800,90,150,Aman
2026-03-09 15:00:00,#Python,Pandas for data analysis.,600,60,120,Riya
2026-03-10 11:00:00,#AI,Generative models are wild.,1200,150,300,Rohit
2026-03-10 16:00:00,#TechTrends,The ethical side of AI.,1100,120,250,Priya
2026-03-11 10:00:00,#TechTrends,AI is changing the world!,1500,200,450,Arjun
2026-03-11 10:05:00,#Innovation,The new quantum processor is insane.,1200,150,300,Sneha
2026-03-11 10:10:00,#Python,Coding in Python is so much fun!,800,100,200,Rahul
2026-03-11 10:15:00,#TechTrends,AI and Machine Learning are the future.,2000,300,600,Anjali
2026-03-11 10:20:00,#AI,Generative AI is a game changer.,1800,250,550,Karan
2026-03-11 10:25:00,#ClimateChange,We need to act now for our planet.,3000,800,1200,Pooja
2026-03-11 10:30:00,#HealthyLiving,Start your day with a green smoothie!,500,50,80,Shruti
2026-03-11 10:35:00,#TechTrends,Why AI ethics matter.,1100,180,250,Hemant
2026-03-11 10:40:00,#Innovation,Solar power is becoming more efficient.,2500,400,700,Aman
2026-03-11 10:45:00,#Python,Check out my new Flask project!,900,120,180,Riya
2026-03-11 10:50:00,#ClimateChange,Melting glaciers are a warning sign.,3500,900,1500,Rohit
2026-03-11 10:55:00,#HealthyLiving,Yoga for beginners – try it today!,750,90,120,Priya
2026-03-11 11:00:00,#TechTrends,The impact of AI on jobs.,1400,220,400,Arjun
2026-03-11 11:05:00,#AI,Can AI write poetry?,1300,190,320,Sneha
2026-03-11 11:10:00,#HealthyLiving,A balanced diet is key to happiness.,600,60,90,Rahul
2026-03-11 11:15:00,#Innovation,Flying cars: closer than you think?,4000,1200,2500,Anjali
2026-03-11 11:20:00,#ClimateChange,Renewable energy is the only path forward.,2800,550,1100,Karan
2026-03-11 11:25:00,#Python,Data Science with Python is amazing.,1600,210,380,Pooja
2026-03-11 11:30:00,#AI,Neural networks explained in 5 minutes.,1700,240,490,Shruti
2026-03-11 11:35:00,#HealthyLiving,Drinking more water changed my life!,850,110,140,Hemant
